admin_support,age,boss_survey,boss_tenure,city_size,clock_in,core,education,gender,half_day_leaves,high_potential,job_satisfaction,kpi_performance,local,part_time,rank,remote,salary,subordinates,team_size,tenure,tenure_unit,training,variable_pay,years_since_promotion,exit
0,33,0.76906437,4,6.0999999,1,1,1,1,4,0,0.62782252,0.76786625,1,1,1,0,38.592804,0,6,1,1,3,0,3,0
0,35,0.4856768,4,6.0999999,0,1,2,0,4,0,0.4022412,0.76441216,1,0,1,0,33.925674,0,4,1,1,3,2,4,0
1,42,0.69197011,6,4.3000002,1,1,1,1,4,0,0.6758824,0.62013805,1,0,2,1,33.856918,7,5,2,2,2,19,4,0
2,43,0.70053607,4,6.0999999,0,1,1,1,6,0,0.55123377,0.5768351,1,0,4,0,45.915955,2,12,2,1,2,13,4,0
1,44,,3,4.3000002,1,1,1,1,4,0,0.75323093,0.70534116,1,0,3,0,43.061035,1,7,2,1,3,18,4,0
0,34,0.22465415,3,9.3999996,0,1,1,0,8,0,0.22625156,0.46782508,1,0,1,0,26.863251,0,7,2,2,3,0,5,1
1,33,0.46913916,4,4.3000002,0,1,1,0,4,0,0.61456984,0.68873107,1,0,2,0,38.633789,1,8,2,2,3,12,4,0
0,33,0.22629938,3,9.3999996,0,0,,1,5,0,0.18727855,0.65585959,1,0,1,1,37.442291,0,10,1,1,2,0,4,0
0,37,0.41393715,4,9.3999996,0,1,1,0,5,0,0.092400029,0.93462634,1,0,1,1,34.481598,0,10,2,2,3,4,3,0
0,40,0.51181614,3,4.3000002,0,0,1,0,5,0,,0.87291104,1,0,1,0,37.08387,0,7,2,1,2,1,4,0
0,33,0.82914656,3,9.3999996,0,1,1,0,5,0,0.43870497,0.74043137,1,0,1,0,34.628448,0,9,1,1,3,4,3,0
1,43,0.59322327,14,4.3000002,1,1,1,1,5,0,0.64990121,0.70451236,1,0,2,0,45.226425,1,9,2,2,4,5,3,0
1,43,0.30043209,3,4.3000002,0,0,1,1,4,0,0.8492592,0.63057154,1,0,2,1,39.401665,5,9,1,1,3,11,3,0
2,43,0.5477519,3,4.3000002,0,1,3,0,,0,1.2097747,0.53134608,1,0,4,1,36.464676,8,6,2,2,3,9,3,0
2,43,1.015918,3,0.89999998,0,1,1,1,1,0,0.88844109,0.7162928,1,0,4,0,44.375778,2,10,2,2,3,19,3,0
2,31,0.69474798,3,4.3000002,1,0,1,1,4,0,0.51230085,0.77282876,1,0,3,0,45.894684,1,10,1,1,2,15,4,0
0,34,,3,4.3000002,0,1,1,0,6,1,0.32137835,0.56909668,1,0,1,1,32.96138,0,10,1,1,2,1,5,0
0,28,0.35910353,3,9.3999996,0,1,3,0,6,0,0.2887255,0.7788012,1,1,1,0,34.77298,0,12,2,1,2,5,4,0
2,38,0.36670709,4,9.3999996,0,0,1,1,5,0,0.73327166,0.78290659,1,0,2,0,44.811287,4,6,3,1,3,8,2,0
1,39,0.42822683,4,2.2,0,0,1,1,6,0,0.20679703,0.74319667,1,0,2,0,41.779976,0,8,1,1,2,20,5,0
1,46,0.40840757,4,2.2,1,1,1,1,5,0,0.75348407,0.62751228,1,0,3,0,44.84021,8,6,1,1,3,14,3,0
1,34,0.23869283,3,9.3999996,0,1,2,1,5,0,0.71200514,0.57165998,1,0,3,0,35.680542,7,8,1,1,3,9,3,1
1,38,0.67624575,3,2.2,0,1,1,1,2,0,1.0181441,0.72732836,1,0,3,0,55.554878,4,4,2,2,3,16,4,0
0,31,0.53593713,3,4.3000002,0,0,3,1,6,1,0.51049733,0.63821697,1,0,1,0,38.891006,0,11,1,1,2,1,3,0
1,37,0.70897549,3,9.3999996,1,1,2,1,6,0,0.56100774,0.64341605,1,0,2,0,47.278931,6,6,3,3,2,17,4,0
0,35,0.52595401,3,2.2,0,1,1,0,6,0,0.42348742,0.55891144,1,1,1,1,35.96936,0,9,3,3,3,5,4,0
0,33,0.70566911,4,9.3999996,0,1,1,1,6,0,0.29869801,0.69775254,1,0,1,0,37.533463,0,10,1,1,1,1,4,0
0,36,0.46392912,5,9.3999996,1,1,1,0,4,0,0.62201214,0.57188445,1,0,1,0,35.904343,0,6,1,1,2,2,4,0
1,44,0.70755339,3,9.3999996,1,1,1,1,4,0,0.77976269,0.68850255,1,0,2,0,50.500046,2,7,2,2,3,16,3,0
0,31,0.27777085,3,9.3999996,0,1,1,1,6,0,0.31989393,0.66050768,1,0,1,0,38.217262,0,9,1,1,2,2,5,1
0,34,0.68819493,3,9.3999996,0,0,2,1,5,0,0.51209706,0.72000611,1,0,1,0,37.462143,0,3,2,1,3,1,4,0
0,38,0.48889196,3,6.0999999,0,1,3,1,4,0,0.29126474,0.83896774,1,0,1,1,42.523697,0,11,1,1,3,3,3,0
0,34,0.54525441,3,6.0999999,1,1,1,0,5,1,0.53878319,0.73656684,1,1,1,0,31.738892,0,8,6,6,3,1,4,0
0,42,0.15420623,4,4.3000002,0,0,2,0,7,0,0.2880803,0.55419302,1,1,1,0,24.334976,0,11,1,1,2,5,4,1
0,39,0.58089316,4,9.3999996,1,1,1,1,6,0,0.90784335,0.61125135,1,0,1,0,36.381119,0,5,1,1,4,5,3,0
1,32,0.1838669,3,4.3000002,1,1,2,1,4,0,0.54917264,0.56294042,1,0,2,0,34.417206,3,8,2,2,2,13,4,1
0,28,0.71296453,5,4.3000002,1,1,3,0,4,1,0.876176,0.66866559,1,1,1,0,34.711426,0,4,1,1,4,5,3,0
0,37,0.49409467,4,6.0999999,1,1,1,0,6,1,0.48037678,0.73832333,1,0,1,0,34.223022,0,6,2,1,2,2,3,0
0,36,0.503474,3,9.3999996,0,1,1,1,5,0,0.4266105,0.76738185,1,0,1,0,37.551834,0,9,2,1,3,2,3,0
0,37,0.39588803,3,0.89999998,1,0,1,1,8,0,0.53832197,0.66537344,1,0,1,0,37.893143,0,9,2,2,3,2,3,0
0,36,0.61903924,3,4.3000002,1,1,1,1,5,0,0.56278557,0.68367404,1,0,1,1,36.384598,0,9,1,1,3,1,2,0
0,36,0.72110623,3,9.3999996,0,1,1,1,5,0,0.62415028,0.81475919,1,0,1,1,34.770813,0,6,3,1,3,4,3,0
1,41,1.0747926,5,4.3000002,0,1,1,1,3,0,0.59508663,0.82697797,1,0,3,0,51.845436,2,4,1,1,2,13,4,0
0,41,0.4114207,3,6.0999999,0,0,1,0,4,1,0.60385364,0.72078454,1,1,1,0,25.176804,0,8,2,1,3,1,4,1
0,40,0.38908154,3,2.2,1,0,1,0,5,0,0.37617028,0.67613363,1,0,1,0,33.696838,0,9,1,1,2,2,4,1
0,36,0.2826553,3,9.3999996,1,1,1,1,5,1,0.5222156,0.68423975,1,0,1,0,33.917694,0,5,4,1,2,5,4,0
1,39,0.45428994,4,2.2,0,1,1,1,4,0,0.77169991,0.6224035,1,1,2,0,42.38855,7,5,1,1,3,18,4,0
1,35,0.45522112,3,9.3999996,0,1,1,1,4,0,0.62001657,0.74351984,1,0,2,0,45.250702,5,4,1,1,3,18,4,0
0,32,0.40549082,4,9.3999996,0,1,1,1,5,0,0.50056726,0.6279552,1,0,1,1,32.397873,0,7,1,1,3,1,4,0
1,45,0.74326301,3,6.0999999,0,1,1,1,4,0,0.83784068,0.78200573,1,0,3,0,49.674988,2,4,1,1,3,6,2,0
1,39,0.49620372,3,6.0999999,0,1,1,1,4,0,0.49968931,0.73060793,1,0,3,1,42.046143,6,8,1,1,2,19,3,0
0,35,0.37431306,4,2.2,1,0,1,0,4,0,0.69702178,0.52595979,1,0,1,0,27.863403,0,8,2,1,3,0,3,0
1,40,0.7778393,5,9.3999996,0,1,1,1,4,0,0.93895698,0.69461393,1,0,3,0,43.783127,5,6,1,1,3,5,3,0
2,36,0.39919317,6,9.3999996,0,1,1,0,4,0,0.51692677,0.64672345,1,0,2,0,33.654984,5,4,1,1,3,11,4,0
1,34,0.16047108,4,4.3000002,0,0,1,1,5,0,0.63410991,0.63727641,1,0,2,0,35.453888,2,7,2,1,3,7,4,1
1,36,0.60803336,3,4.3000002,0,1,1,1,2,0,0.58324599,0.91465396,1,0,2,0,44.674194,5,7,1,1,3,17,4,0
1,46,0.66234988,3,4.3000002,0,1,1,1,3,0,0.64358431,0.87114,1,0,3,0,41.208305,5,7,5,3,3,16,2,0
0,29,0.42745718,4,0.89999998,0,0,1,0,6,1,0.4703148,0.6758315,1,0,1,1,37.177567,0,9,2,2,3,1,3,0
0,37,0.44547263,3,9.3999996,1,0,3,1,5,0,0.45976317,0.68388104,1,0,1,1,44.782196,0,10,1,1,2,4,4,0
2,40,0.73408401,3,6.0999999,0,1,1,0,5,0,0.82716388,0.66881615,1,0,2,1,41.198067,6,6,2,2,3,6,2,0
0,36,0.52739215,4,2.2,0,1,1,0,5,0,0.56672972,0.73308516,1,1,1,0,34.030319,0,8,1,1,2,5,2,0
0,29,0.33687985,3,2.2,1,1,1,0,5,0,0.87182474,0.44310156,1,0,1,0,24.885223,0,7,2,2,3,5,3,0
0,40,0.1523772,3,9.3999996,1,1,1,0,6,0,0.40040755,0.82062745,1,1,1,0,38.220131,0,6,1,1,3,4,4,0
2,46,0.17646435,3,4.3000002,0,1,3,0,,0,0.37839705,0.61279398,1,0,4,1,38.501572,2,8,1,1,2,10,5,0
0,31,-0.054391243,3,2.2,0,0,2,1,4,1,0.38650459,0.76400518,1,1,1,1,36.589417,0,8,2,1,4,4,3,1
0,32,0.65599626,3,9.3999996,0,0,1,1,8,0,0.43423831,0.57266206,1,1,1,0,38.165215,0,7,2,2,3,3,5,0
2,43,0.57059193,4,4.3000002,0,0,1,1,6,0,0.80628264,0.48834997,1,0,4,0,41.509735,4,7,1,1,3,14,4,0
2,41,0.92818457,6,4.3000002,0,1,1,1,2,0,0.88360131,0.88339508,1,0,3,0,49.560799,6,7,1,1,2,16,3,0
2,44,0.63609451,3,9.3999996,0,1,1,1,4,0,0.75253642,0.70689404,1,0,4,0,49.627548,8,9,2,2,3,15,3,0
1,35,0.83249235,4,9.3999996,0,1,1,1,5,0,0.83522218,0.60890913,1,0,3,1,47.053711,3,5,1,1,2,9,4,0
0,34,0.48657745,3,9.3999996,1,1,2,0,3,0,0.53827482,0.60295278,1,0,1,0,30.976578,0,8,1,1,2,2,4,0
2,38,0.55148524,4,9.3999996,0,0,2,1,4,0,0.43373242,0.74782223,1,0,2,1,33.678253,5,6,1,1,3,8,4,0
0,34,0.46323758,3,6.0999999,0,1,1,0,4,1,0.58245796,0.74175304,1,0,1,0,41.220787,0,7,1,1,3,0,4,0
2,37,0.4829787,3,9.3999996,0,1,1,1,5,0,0.50920105,0.66893852,1,0,2,0,33.631775,3,5,1,1,2,15,4,0
0,30,0.57219988,3,2.2,0,,3,0,5,0,0.69819427,0.65475637,1,1,1,0,34.141632,0,5,1,1,2,4,4,0
1,49,0.40870634,3,9.3999996,1,0,2,1,5,0,0.31377387,0.7851311,1,0,2,0,40.750793,5,6,1,1,2,12,4,0
0,31,0.83532339,3,6.0999999,1,1,1,0,5,0,0.68049908,0.80440265,1,1,1,0,38.838127,0,8,1,1,3,2,2,0
0,43,0.43896687,4,9.3999996,1,1,2,1,7,0,0.19702348,0.69306219,1,1,1,0,35.96463,0,5,2,1,2,3,5,0
0,38,0.76195514,3,6.0999999,1,1,1,1,5,0,0.37461925,0.91242218,1,0,1,0,64.239716,0,9,1,1,2,0,3,0
0,40,0.096525624,3,2.2,0,1,1,1,4,1,0.62830138,0.64821291,1,0,1,0,39.165604,0,6,1,1,3,1,3,0
1,41,0.80737835,4,9.3999996,0,1,3,1,6,0,0.77727079,0.72246468,1,1,3,0,46.077721,2,6,1,1,3,12,4,0
1,45,0.49990985,3,9.3999996,0,1,1,1,,0,0.47816259,0.8355605,1,0,2,0,38.663986,6,3,2,2,3,10,4,0
2,43,0.62898719,5,6.0999999,0,0,3,1,5,0,0.5187422,0.67398864,1,0,4,0,53.070427,3,8,2,1,2,16,4,0
0,27,0.33995968,3,6.0999999,0,1,2,0,4,0,0.30146036,0.59136128,1,1,1,0,28.254242,0,10,1,1,3,3,4,0
1,42,0.63333148,3,9.3999996,1,1,1,1,5,0,0.70467228,0.7261346,1,0,3,0,42.932762,7,9,2,2,3,5,3,0
0,41,0.46589521,3,0.89999998,0,0,1,0,5,0,0.84199697,0.62113494,1,0,1,1,30.685349,0,8,3,3,3,3,3,0
0,38,0.49749038,3,2.2,0,1,1,0,5,0,0.59593254,0.80210263,1,1,1,1,34.233353,0,5,2,2,2,2,4,0
0,27,0.64505607,6,0.89999998,0,0,1,1,2,1,0.77279615,0.71328962,1,0,1,1,37.515594,0,6,1,1,2,2,4,0
1,44,0.2784338,3,9.3999996,0,1,1,1,7,0,0.1769938,0.67944747,1,0,2,1,50.806038,3,9,1,1,2,10,5,0
1,41,0.67201775,4,2.2,0,1,1,0,3,0,0.75485331,0.77798992,1,0,2,0,36.904129,1,8,1,1,3,6,4,0
1,36,0.29783899,3,6.0999999,0,1,1,1,5,0,0.65077454,0.64378333,1,0,3,0,39.882713,3,7,1,1,2,14,4,0
1,40,0.39739144,4,9.3999996,1,1,1,1,4,0,0.44525233,0.76311398,1,0,2,0,35.146255,6,8,1,1,3,13,3,0
1,32,0.65255803,4,2.2,0,0,2,1,2,0,0.84392732,0.86274093,1,1,2,0,40.955788,2,6,2,1,3,7,3,0
1,42,0.45429227,4,6.0999999,0,1,1,1,4,0,0.72217119,0.85704064,1,0,3,1,43.988754,8,2,2,2,3,8,3,0
0,40,0.46795732,3,2.2,0,0,1,1,5,1,0.65275049,0.61119711,1,0,1,0,40.924477,0,7,2,1,3,2,5,0
2,46,0.34303743,5,2.2,1,1,1,0,6,0,0.56539088,0.5200597,1,0,3,0,35.168777,7,7,1,1,2,6,5,0
0,39,0.63389045,5,9.3999996,0,0,3,0,5,0,0.49576968,0.78916848,1,0,1,0,35.871597,0,9,1,1,3,3,3,0
1,38,0.48126319,3,9.3999996,0,1,2,0,3,0,0.78150123,0.66365927,1,0,2,0,41.692734,0,5,1,1,2,7,3,0
2,45,0.38494456,3,2.2,0,1,1,0,4,0,0.60769898,0.69522673,1,0,2,0,36.686203,7,9,1,1,2,9,3,0
0,35,0.19917306,5,4.3000002,0,1,2,0,5,1,0.30194926,0.77240026,1,0,1,0,32.464066,0,8,2,1,3,4,3,1
2,39,0.6339103,3,6.0999999,0,1,1,1,6,0,0.33873817,0.70201057,1,0,2,0,39.06794,3,11,1,1,2,15,4,0
0,35,0.31706214,3,6.0999999,1,1,2,0,6,0,0.544999,0.59743518,1,1,1,1,33.013077,0,7,1,1,2,5,5,0
0,38,0.45254499,3,4.3000002,0,1,1,0,5,0,0.42014423,0.68683541,1,0,1,0,35.705597,0,4,1,1,2,1,4,0
1,36,0.49547789,3,2.2,0,1,1,1,4,0,0.32401183,0.85172898,1,0,2,0,40.88575,2,6,2,2,2,,5,0
0,40,0.91537845,3,4.3000002,0,1,1,1,4,0,0.68690807,0.68300074,1,0,1,0,42.647888,0,6,1,1,2,1,4,0
0,37,0.53896201,4,4.3000002,1,1,1,0,5,0,0.73126811,0.57844609,1,0,1,1,34.089966,0,9,2,2,3,2,4,0
1,36,0.65911061,3,4.3000002,0,0,2,1,6,0,0.73671293,0.68547481,1,0,2,0,39.679092,5,8,1,1,2,7,3,0
1,34,0.5457378,3,6.0999999,0,0,1,1,4,0,0.63985884,0.80901992,1,0,2,1,44.572365,6,10,2,1,3,19,2,0
0,37,0.32986435,4,9.3999996,1,1,1,1,6,0,0.32656962,0.81507874,1,0,1,0,41.553215,0,10,2,2,2,4,4,1
0,30,0.61847013,3,4.3000002,0,1,1,0,6,0,0.25758678,0.87709862,1,0,1,1,39.068878,0,6,3,3,2,5,4,0
0,35,0.6313982,5,9.3999996,0,1,2,1,3,0,0.61904764,0.7746262,1,0,1,1,39.240784,0,6,1,1,2,5,3,0
0,27,0.41958699,4,6.0999999,1,1,1,1,5,1,0.56101316,0.65218914,1,0,1,0,32.190033,0,9,1,1,3,4,4,0
0,38,0.56891406,3,4.3000002,0,0,1,0,5,1,0.91860235,0.63971514,1,0,1,0,33.638168,0,7,4,4,3,2,3,0
1,43,0.62593448,3,6.0999999,1,1,1,1,5,0,0.60751379,0.6221016,1,0,2,0,41.419533,2,9,2,2,2,12,4,0
1,46,0.29535425,5,4.3000002,0,0,2,1,4,0,0.53027195,0.75357938,1,0,4,0,48.243576,6,8,1,1,3,10,4,0
0,37,0.70581317,3,6.0999999,1,1,2,1,7,0,0.52386224,0.65573967,1,0,1,0,48.763329,0,10,4,2,3,5,4,0
2,45,0.3783443,4,2.2,0,1,1,1,3,0,0.82804239,0.7497921,1,0,4,1,49.972504,4,8,1,1,3,18,2,1
0,35,0.69856679,3,9.3999996,0,1,1,0,5,1,0.89458007,0.60195559,1,0,1,0,33.916031,0,8,2,2,3,1,3,0
2,39,0.19192402,4,0.89999998,0,0,1,0,5,0,0.77762628,0.61496264,1,0,2,0,31.928528,5,9,1,1,4,14,3,1
0,30,0.90024531,3,9.3999996,1,1,1,0,5,0,0.53424841,0.72325122,1,0,1,0,34.595215,0,7,1,1,3,1,3,0
0,34,0.38777056,3,2.2,1,0,1,0,6,0,0.68593347,0.47505289,1,1,1,0,29.793518,0,5,6,6,3,0,4,0
0,31,0.58388329,4,9.3999996,0,1,3,1,6,0,0.36965325,0.5393241,1,0,1,0,36.510788,0,8,1,1,2,4,5,0
0,31,0.8398518,4,9.3999996,1,1,2,1,5,1,1.0250969,0.59676749,1,1,1,0,37.609283,0,8,2,1,2,2,3,0
2,35,0.86804014,4,2.2,0,1,1,1,6,0,1.0174656,0.60463393,1,1,2,0,44.811096,4,6,2,2,3,15,3,0
0,30,0.50110441,3,6.0999999,0,1,1,0,3,1,0.55221599,0.7438013,1,1,1,,30.764862,0,5,1,1,2,5,3,0
0,33,0.35979503,4,2.2,1,1,2,1,5,1,0.92990553,0.57836109,1,0,1,0,40.773331,0,4,2,2,3,1,4,0
0,39,0.64934278,3,9.3999996,1,1,1,0,2,1,0.97837722,0.69531709,1,0,1,0,34.218582,0,4,1,1,1,2,4,0
0,29,0.2081234,3,4.3000002,0,1,2,0,5,0,0.52296704,0.72430694,1,0,1,0,35.740921,0,6,3,1,3,3,4,0
0,34,0.4270657,3,2.2,1,1,1,0,4,0,0.7320078,0.6348508,1,1,1,0,34.135971,0,6,2,1,3,3,3,0
1,34,0.29491651,6,9.3999996,0,1,1,0,4,0,0.65835899,0.67635548,1,0,2,1,33.806198,5,5,1,1,3,7,4,0
0,30,0.94313967,3,9.3999996,0,1,1,1,4,0,0.49283472,0.82248002,1,0,1,0,33.072586,0,7,1,1,2,1,3,0
0,39,0.91711885,3,6.0999999,1,1,1,1,6,0,0.43869352,0.8176989,1,0,1,0,45.730286,0,7,1,1,2,5,4,0
0,35,0.40486374,3,6.0999999,0,1,1,0,5,0,0.59188169,0.7897687,1,0,1,0,29.770096,0,7,2,2,2,2,3,0
0,38,0.38586947,3,4.3000002,1,1,1,1,5,0,0.47594625,0.60107017,1,0,1,1,35.255249,0,9,1,1,3,1,4,0
0,45,0.31691894,3,2.2,1,0,1,0,4,0,0.82701397,0.61067325,1,0,1,0,34.617004,0,6,2,2,3,2,4,0
0,39,0.47446114,3,4.3000002,0,1,1,1,3,0,0.79069763,0.8096087,1,0,1,0,36.352264,0,5,1,1,3,5,3,0
2,,-0.005191756,3,2.2,0,1,2,1,2,0,0.62466514,0.65442687,1,0,4,1,37.587929,0,9,1,1,2,20,3,0
0,41,0.62431443,3,6.0999999,0,1,1,1,6,1,0.61410475,0.68228173,1,0,1,1,45.837921,0,6,1,1,2,4,4,0
2,38,0.77503377,3,4.3000002,1,1,1,1,4,0,1.0825754,0.48932603,1,0,2,0,41.308868,7,4,1,1,3,15,3,0
1,40,0.4888818,4,2.2,0,1,1,1,5,0,0.78834891,0.57451993,1,0,3,1,33.479034,7,11,1,1,3,20,2,0
1,41,0.17204793,3,2.2,0,1,2,1,5,0,0.35579497,0.7893483,1,0,3,0,39.415848,8,7,3,3,3,6,4,0
1,40,0.13091215,3,4.3000002,0,1,1,1,6,0,0.30813587,0.79914677,1,0,2,0,47.244324,6,8,1,1,2,17,4,0
2,39,0.44956446,7,6.0999999,0,1,1,1,4,0,0.6857453,0.85087335,1,0,4,1,52.579262,4,6,1,1,4,18,2,0
0,36,0.15026779,6,9.3999996,0,1,2,0,6,0,1.0075924,0.56777954,1,1,1,0,31.075699,0,6,1,1,3,0,3,1
1,34,0.59471768,3,9.3999996,0,1,3,1,7,0,0.39147595,0.75585985,1,0,3,0,53.666168,1,6,1,1,3,19,3,0
1,36,0.7241953,3,9.3999996,0,1,2,1,5,0,0.64097399,0.7003004,1,0,2,0,49.778343,6,4,1,1,3,11,4,0
0,39,0.35915518,3,9.3999996,0,0,1,0,5,0,0.36243266,0.74992573,1,0,1,0,33.890244,0,6,1,1,2,3,3,0
2,45,0.7139622,4,2.2,0,1,1,1,3,0,0.83933926,0.79521346,1,0,3,1,43.196098,7,6,1,1,2,8,3,0
0,44,0.29134396,3,2.2,0,1,1,1,5,0,0.42371392,0.70000631,1,0,1,0,32.672607,0,10,1,1,3,1,4,1
0,33,0.36189431,4,9.3999996,0,1,1,0,6,0,0.7862249,0.4523758,1,0,1,0,27.400482,0,7,1,1,4,4,4,0
1,37,0.63564968,5,0.89999998,0,1,1,1,5,0,0.78721333,0.61012191,1,0,2,1,39.968422,3,11,2,1,3,6,2,0
0,39,0.55941856,3,4.3000002,1,1,1,0,4,1,0.52048302,0.76061004,1,1,1,1,31.92662,0,8,1,1,2,1,3,0
1,42,0.30966032,3,9.3999996,0,1,2,1,5,0,0.3602767,0.69776404,1,0,3,0,36.385239,3,10,3,3,3,19,4,1
1,39,0.30441871,4,9.3999996,0,1,3,0,3,0,0.61854982,0.87602741,1,0,2,0,34.747131,6,7,2,1,3,11,2,0
0,43,0.39267391,8,6.0999999,0,1,1,0,6,0,0.21818087,0.75609165,1,0,1,0,35.039841,0,7,1,1,2,5,4,0
2,43,0.86048722,3,4.3000002,0,1,1,1,5,0,0.90159404,0.88867635,1,0,3,0,50.593285,7,5,2,1,3,10,3,0
1,38,0.54092503,5,6.0999999,1,1,1,1,4,0,0.49566343,0.64240026,1,0,2,0,36.729309,3,9,1,1,3,19,3,0
0,27,0.41188061,4,9.3999996,1,1,2,1,5,0,0.40441075,0.7444523,1,0,1,0,42.443779,0,6,2,1,3,2,5,0
0,34,0.41024387,5,2.2,1,1,1,0,2,0,0.82612473,0.77436042,1,0,1,1,29.798492,0,3,1,1,2,3,3,0
0,38,0.39782479,3,4.3000002,0,1,2,0,3,0,0.55638647,0.67194319,1,0,1,1,37.952248,0,8,3,3,3,1,3,0
0,38,0.56529641,3,6.0999999,1,1,1,1,6,0,0.35456002,0.68946552,1,0,1,1,33.405075,0,7,1,1,2,4,5,0
1,45,0.4598954,4,4.3000002,0,1,1,1,4,0,0.6539681,0.67767513,1,0,3,0,33.335205,2,5,1,1,2,7,4,0
0,30,0.41485912,3,2.2,0,1,1,0,4,0,0.60113215,0.55421448,1,0,1,0,32.483109,0,8,1,1,2,5,6,0
0,30,0.47103509,3,9.3999996,0,0,1,0,6,0,0.58161998,0.5228346,1,1,1,0,29.756088,0,6,1,1,2,0,5,0
1,42,0.17349081,3,4.3000002,0,1,1,1,7,0,0.50048417,0.53962761,1,0,2,0,41.936745,3,10,3,3,3,18,4,0
0,33,0.78582054,3,4.3000002,1,1,2,0,4,0,0.57009315,0.80624574,1,0,1,1,38.604202,0,5,2,2,2,1,4,0
1,40,0.64470726,3,4.3000002,0,1,1,1,5,0,0.50302082,0.71119487,1,0,2,0,45.735947,3,6,1,1,2,13,4,0
0,33,0.33311418,3,2.2,0,1,1,0,3,1,0.4456268,0.85983086,1,0,1,0,37.060059,0,8,1,1,3,5,3,0
1,42,0.95304203,3,6.0999999,1,1,1,1,4,0,1.1375463,0.64270443,1,1,3,0,43.246399,7,2,1,1,3,15,3,1
0,35,0.27251279,3,6.0999999,1,1,1,0,6,0,0.55301774,0.43125826,1,1,1,0,30.326599,0,9,3,1,3,0,5,1
1,36,0.49690676,3,2.2,0,1,2,1,5,0,0.84752882,0.60076302,1,0,2,0,41.989761,4,7,2,2,2,20,4,0
