From.Grade,To.Grade,Is.Non.Annual.,Days,Departure.Date,Deposit.Date,Tuition,FRP.Active,FRP.Cancelled,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,NumberOfMeetingswithParents,SingleGradeTripFlag,Retained.in.2012.,Ability_to_Pay,Travel.Type_B,Travel.Type_N,Travel.Type_T,School.Type_Catholic,School.Type_PUBLIC,School.Type_Private non-Christian,SPR.New.Existing_NEW,SchoolSizeIndicator_M-L,SchoolSizeIndicator_S,SchoolSizeIndicator_S-M,SchoolSizeIndicator_missing,Region_New_Mountain,Region_New_North East,Region_New_Northen California,Region_New_Pacific,Region_New_South Atlantic,Region_New_South Central,Region_New_Southern California,Region_New_Texas,Region_New_West North Central,DepartureSeason_Winter
8.0,8.0,0.0,3.0,40593.0,40471.0,1174.0,28.0,5.0,7.0,4.0,40239.0,1.0,7.0,8.0,0.308,0.0,39.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,3.0,40593.0,40471.0,1174.0,72.0,13.0,15.0,7.0,40239.0,1.0,7.0,8.0,0.22899999999999998,0.0,105.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,3.0,40593.0,40471.0,1174.0,37.0,3.0,3.0,3.0,40239.0,1.0,7.0,8.0,0.28300000000000003,0.0,46.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.0,8.0,0.0,5.0,40593.0,40466.0,2202.0,21.0,1.0,1.0,2.0,40270.0,1.0,-1.0,8.0,0.36,0.0,25.0,1.0,0.0,1.0,3.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,6.0,40593.0,40466.0,2631.0,97.0,30.0,37.0,14.0,40197.0,1.0,7.0,12.0,0.2,0.0,145.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,5.0,40593.0,40466.0,2049.0,43.0,3.0,5.0,9.0,40233.0,1.0,6.0,8.0,0.268,1.0,71.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,6.0,40593.0,40466.0,2366.0,36.0,4.0,3.0,3.0,40208.0,1.0,6.0,8.0,0.146,0.0,48.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,1.0,6.0,40594.0,40476.0,2559.0,37.0,8.0,11.0,7.0,40305.0,1.0,6.0,8.0,0.233,0.0,60.0,1.0,1.0,0.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,6.0,40594.0,40451.0,2907.0,18.0,3.0,5.0,3.0,40205.0,1.0,3.0,5.0,0.222,0.0,27.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
7.0,8.0,0.0,7.0,40594.0,40456.0,2949.0,31.0,1.0,0.0,4.0,40240.0,1.0,0.0,8.0,0.175,0.0,40.0,2.0,0.0,1.0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,5.0,40595.0,40466.0,1399.0,25.0,0.0,0.0,2.0,40263.0,1.0,-1.0,12.0,0.273,0.0,33.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,3.0,40596.0,40330.0,935.0,4.0,0.0,2.0,3.0,40303.0,1.0,7.0,8.0,0.0,0.0,33.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40596.0,40473.0,2077.0,2.0,3.0,3.0,1.0,40310.0,1.0,6.0,8.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40596.0,40473.0,2077.0,8.0,6.0,4.0,1.0,40310.0,1.0,6.0,8.0,0.273,0.0,11.0,1.0,1.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4.0,4.0,0.0,3.0,40597.0,40445.0,874.0,9.0,0.0,0.0,1.0,40240.0,0.0,-1.0,8.0,0.125,1.0,16.0,0.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,4.0,40597.0,40456.0,1138.0,70.0,7.0,10.0,13.0,40246.0,1.0,3.0,6.0,0.355,0.0,110.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,4.0,40597.0,40483.0,1310.0,43.0,0.0,0.0,7.0,40219.0,0.0,-1.0,12.0,0.147,0.0,75.0,0.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,4.0,40598.0,40459.0,1550.0,44.0,6.0,7.0,2.0,40257.0,1.0,7.0,8.0,0.38799999999999996,0.0,49.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,4.0,40598.0,40452.0,1149.0,20.0,2.0,3.0,4.0,40263.0,1.0,-1.0,8.0,0.217,0.0,23.0,2.0,1.0,1.0,3.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11.0,12.0,0.0,6.0,40600.0,40452.0,2154.0,4.0,2.0,2.0,1.0,40227.0,1.0,-1.0,12.0,0.25,1.0,8.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40602.0,40452.0,1684.0,11.0,2.0,2.0,1.0,40254.0,1.0,-1.0,8.0,0.368,1.0,19.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,4.0,40603.0,40494.0,1163.0,46.0,3.0,3.0,7.0,40225.0,1.0,-1.0,12.0,0.136,0.0,66.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9.0,9.0,0.0,5.0,40603.0,40479.0,1321.0,37.0,4.0,7.0,4.0,40260.0,1.0,7.0,9.0,0.31,0.0,58.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,4.0,1.0,3.0,40604.0,40466.0,808.0,0.0,0.0,1.0,1.0,40194.0,0.0,-1.0,6.0,0.0,1.0,45.0,0.0,1.0,0.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
9.0,12.0,0.0,4.0,40605.0,40565.0,1589.0,2.0,3.0,4.0,1.0,40443.0,1.0,9.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7.0,8.0,1.0,4.0,40605.0,40480.0,1477.0,12.0,1.0,2.0,1.0,40192.0,1.0,-1.0,8.0,0.14300000000000002,0.0,21.0,1.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5.0,6.0,1.0,5.0,40605.0,40488.0,1813.0,36.0,8.0,8.0,3.0,40056.0,1.0,-1.0,5.0,0.28,0.0,50.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4.0,4.0,0.0,1.0,40606.0,40466.0,149.0,0.0,0.0,1.0,1.0,40268.0,0.0,0.0,6.0,0.0,1.0,25.0,0.0,1.0,1.0,3.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,3.0,40606.0,40483.0,987.0,94.0,10.0,10.0,13.0,40236.0,1.0,6.0,8.0,0.21899999999999997,0.0,137.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7.0,7.0,0.0,3.0,40606.0,40456.0,1040.0,65.0,6.0,5.0,10.0,40234.0,1.0,7.0,8.0,0.196,0.0,92.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40606.0,40451.0,899.0,34.0,5.0,8.0,4.0,40295.0,1.0,6.0,8.0,0.17,0.0,53.0,2.0,1.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,8.0,40606.0,40452.0,2048.0,16.0,6.0,7.0,8.0,40228.0,1.0,6.0,8.0,0.154,0.0,65.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8.0,8.0,0.0,4.0,40607.0,40483.0,1319.0,16.0,3.0,9.0,5.0,40263.0,1.0,6.0,8.0,0.152,0.0,33.0,2.0,1.0,1.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.0,8.0,0.0,5.0,40608.0,40483.0,1924.0,20.0,11.0,14.0,3.0,40219.0,1.0,6.0,8.0,0.185,0.0,27.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,5.0,40608.0,40473.0,849.0,46.0,18.0,21.0,8.0,40276.0,1.0,9.0,12.0,0.168,0.0,101.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40608.0,40483.0,1268.0,1.0,0.0,0.0,3.0,40256.0,1.0,-1.0,12.0,0.0,0.0,32.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,7.0,40608.0,40494.0,2571.0,16.0,4.0,6.0,4.0,40236.0,1.0,0.0,8.0,0.092,0.0,65.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,7.0,40608.0,40452.0,2389.0,38.0,1.0,1.0,5.0,40227.0,1.0,-1.0,8.0,0.312,1.0,61.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,7.0,40608.0,40452.0,2049.0,33.0,8.0,5.0,6.0,40254.0,1.0,7.0,12.0,0.243,1.0,70.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
7.0,8.0,1.0,4.0,40609.0,40451.0,1324.0,41.0,1.0,3.0,5.0,40254.0,1.0,-1.0,8.0,0.245,0.0,53.0,1.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,5.0,40609.0,40483.0,1984.0,3.0,1.0,3.0,1.0,40263.0,1.0,7.0,8.0,0.154,0.0,13.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40609.0,40483.0,2267.0,26.0,0.0,0.0,4.0,40277.0,1.0,6.0,12.0,0.171,0.0,35.0,1.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
7.0,8.0,0.0,5.0,40609.0,40483.0,1742.0,28.0,11.0,10.0,2.0,40200.0,1.0,6.0,8.0,0.172,0.0,29.0,1.0,0.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,6.0,40609.0,40466.0,1099.0,50.0,4.0,6.0,7.0,40239.0,1.0,6.0,8.0,0.284,0.0,74.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,1.0,4.0,40610.0,40466.0,1145.0,22.0,4.0,7.0,3.0,40360.0,0.0,-1.0,12.0,0.25,0.0,32.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7.0,7.0,0.0,4.0,40610.0,40463.0,999.0,18.0,7.0,7.0,3.0,40361.0,0.0,-1.0,12.0,0.13,0.0,23.0,0.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7.0,8.0,0.0,6.0,40610.0,40466.0,2096.0,0.0,0.0,2.0,4.0,40220.0,0.0,-1.0,8.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
6.0,6.0,0.0,3.0,40611.0,40466.0,725.0,31.0,0.0,0.0,3.0,40361.0,0.0,-1.0,12.0,0.139,0.0,36.0,0.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7.0,8.0,1.0,4.0,40611.0,40473.0,1467.0,34.0,9.0,9.0,4.0,40211.0,1.0,7.0,8.0,0.20800000000000002,0.0,48.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,4.0,40611.0,40441.0,1630.0,58.0,12.0,12.0,10.0,40257.0,1.0,7.0,8.0,0.14300000000000002,0.0,77.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,6.0,40611.0,40466.0,1099.0,16.0,3.0,2.0,2.0,40261.0,1.0,5.0,8.0,0.21899999999999997,0.0,32.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
8.0,8.0,0.0,6.0,40611.0,40452.0,1854.0,18.0,1.0,1.0,3.0,40204.0,1.0,0.0,12.0,0.486,0.0,35.0,2.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7.0,8.0,0.0,3.0,40612.0,40466.0,890.0,6.0,6.0,7.0,1.0,40234.0,1.0,7.0,8.0,0.2,0.0,15.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,3.0,40612.0,40473.0,1163.0,149.0,22.0,20.0,13.0,40292.0,1.0,7.0,8.0,0.11599999999999999,0.0,181.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9.0,9.0,0.0,4.0,40612.0,40466.0,1445.0,49.0,3.0,4.0,5.0,40257.0,1.0,6.0,9.0,0.26899999999999996,0.0,78.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.0,9.0,0.0,5.0,40612.0,40504.0,1229.0,27.0,4.0,3.0,3.0,40374.0,1.0,7.0,9.0,0.16699999999999998,1.0,42.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40612.0,40452.0,2164.0,12.0,15.0,21.0,3.0,40138.0,1.0,0.0,8.0,0.33299999999999996,0.0,18.0,2.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6.0,6.0,0.0,8.0,40612.0,40452.0,2630.0,0.0,0.0,0.0,4.0,40228.0,0.0,-1.0,6.0,0.0,1.0,36.0,0.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,3.0,40613.0,40497.0,1149.0,24.0,2.0,3.0,2.0,40220.0,1.0,-1.0,12.0,0.31,0.0,29.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6.0,8.0,0.0,4.0,40613.0,40452.0,1368.0,34.0,7.0,9.0,5.0,40283.0,0.0,6.0,8.0,0.32,0.0,50.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,12.0,1.0,4.0,40613.0,40480.0,1299.0,6.0,2.0,2.0,1.0,40289.0,1.0,0.0,12.0,0.222,0.0,9.0,2.0,0.0,0.0,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
7.0,8.0,1.0,5.0,40613.0,40483.0,1620.0,23.0,3.0,2.0,2.0,40192.0,1.0,0.0,8.0,0.3,0.0,40.0,1.0,0.0,0.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
5.0,6.0,0.0,5.0,40613.0,40483.0,1849.0,13.0,9.0,10.0,4.0,40239.0,1.0,0.0,8.0,0.16,0.0,25.0,2.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,4.0,40613.0,40483.0,1217.0,13.0,1.0,1.0,1.0,40244.0,1.0,0.0,12.0,0.191,0.0,21.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
6.0,8.0,1.0,6.0,40613.0,40451.0,1844.0,9.0,2.0,2.0,2.0,40192.0,1.0,-1.0,8.0,0.14300000000000002,0.0,21.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,4.0,40613.0,40466.0,1047.0,21.0,2.0,1.0,4.0,40131.0,1.0,6.0,8.0,0.324,0.0,37.0,2.0,1.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
8.0,8.0,0.0,7.0,40613.0,40330.0,2277.0,11.0,1.0,1.0,1.0,40228.0,1.0,-1.0,8.0,0.47100000000000003,1.0,17.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8.0,8.0,0.0,4.0,40614.0,40497.0,1658.0,12.0,3.0,2.0,1.0,40227.0,1.0,6.0,8.0,0.235,0.0,17.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,4.0,40614.0,40466.0,1463.0,5.0,5.0,5.0,2.0,40206.0,1.0,6.0,8.0,0.071,0.0,14.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
